Aircraft_Breakdown,United States_of_America,Russia,China,India,France,United_Kingdom,Japan,Turkey,Germany,Egypt
Total_Aircraft_Strength,13762,3794,2955,2102,1305,856,1594,1018,698,1132
Fighter_Aircraft,2296,806,1271,676,296,88,288,207,92,337
Attack_Aircraft,2785,1438,1385,809,284,168,287,207,169,427
Transport_Aircraft,5739,1124,782,857,662,337,481,439,345,260
Trainer_Aircraft,2831,387,352,323,283,329,447,276,47,384
Total_Helicopter_Strength,6065,1389,912,666,610,347,659,455,375,257
Attack_Helicopters,947,490,206,16,49,33,119,70,47,46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
