Army_Breakdown,United States_of_America,Russia,China,India,France,United_Kingdom,Japan,Turkey,Germany,Egypt
Combat_Tanks,5884,20216,6457,4426,406,249,700,2445,543,4110
Armoured_Fighting_Vehicles,41062,31298,4788,6704,6863,5948,2850,7550,5869,13949
Self_Propelled_Artillery,1934,5972,1710,290,325,89,202,1013,154,889
Towed_Artillery,1299,4625,6246,7414,233,138,500,697,0,2360
Rocket_Projectors,1331,3793,1770,292,44,42,99,811,50,1481
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
