Naval_Breakdown,United States_of_America,Russia,China,India,France,United_Kingdom,Japan,Turkey,Germany,Egypt
Total_Naval_Assets,415,352,714,295,118,76,131,194,81,319
Aircraft_Carriers,19,1,1,3,4,2,4,0,0,2
Frigates,8,6,51,14,11,13,0,16,10,9
Destroyers,63,15,35,11,4,6,42,0,0,0
Corvettes,0,81,35,23,0,0,6,9,5,2
Submarines,70,63,68,15,10,11,17,12,6,5
Patrol_Craft,13,28,220,139,17,4,6,34,4,227
Mine_Warefare_Vessels,11,46,31,6,18,15,25,11,13,23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
