Petroleum_Breakdown,United States_of_America,Russia,China,India,France,United_Kingdom,Japan,Turkey,Germany,Egypt
Production,8653000,10110000,4189000,767600,15340,787200,4666,47670,48830,478400
Consumption,19000000,3320000,10120000,3510000,1770000,1510000,4530800,720000,2400000,740000
Proven_Reserves,36520000000,80000000000,25000000000,5675000000,84080000,2800000000,541600000,300000000,100000000,4400000000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
