Country,GFP_Rank,Power_Index_rating,Total_Population,Manpower_Available,Fit_for_Service,Reaching_Military_Age,Total_Military_Personnel,Active_Personnel,Reserve_Personnel
USA,1,0.0857,323995528,145215000,120025000,4220000,2363675,1373650,990025
Russia,2,0.0929,142355415,70000000,47000000,1355000,3371027,798527,2572500
China,3,0.0945,1373541278,750000000,619000000,19550000,3712500,2260000,1452500
India,4,0.1593,1266883598,616000000,489600000,22900000,4207250,1362500,2844750
France,5,0.1914,66836154,30000000,23750000,775000,387635,204000,183635
UK,6,0.2131,64430428,30000000,24040000,750000,232675,151175,81500
Japan,7,0.2137,126702133,54000000,44000000,1215000,311875,248575,63300
Turkey,8,0.2491,80274604,41640000,35010000,1375000,743415,382850,360565
Germany,9,0.2609,80722792,37000000,29540000,791000,210000,180000,30000
Egypt,10,0.2676,94666993,42000000,35306000,1535000,1329250,454250,875000
