Country,Defence_Budget,External_Debt,Foreign_Exchange_or_Gold,Purchasing_Power_Parity
USA,587800000000,17910000000000,117600000000,18560000000000
Russia,44600000000,514800000000,365500000000,3745000000000
China,161700000000,983500000000,3092000000000,21270000000000
India,51000000000,507000000000,359100000000,8721000000000
France,35000000000,5360000000000,138200000000,2737000000000
UK,45700000000,8126000000000,129600000000,2788000000000
Japan,43800000000,3240000000000,1233000000000,4932000000000
Turkey,8208000000,410400000000,115000000000,1670000000000
Germany,39200000000,5326000000000,173700000000,3979000000000
Egypt,4400000000,50670000000,15060000000,1105000000000
