Country,Naval_Type,Naval_Count
USA,Total_Naval_Assets,415
USA,Aircraft_Carriers,19
USA,Frigates,8
USA,Destroyers,63
USA,Corvettes,0
USA,Submarines,70
USA,Patrol_Craft,13
USA,Mine_Warefare_Vessels,11
Russia,Total_Naval_Assets,352
Russia,Aircraft_Carriers,1
Russia,Frigates,6
Russia,Destroyers,15
Russia,Corvettes,81
Russia,Submarines,63
Russia,Patrol_Craft,28
Russia,Mine_Warefare_Vessels,46
China,Total_Naval_Assets,714
China,Aircraft_Carriers,1
China,Frigates,51
China,Destroyers,35
China,Corvettes,35
China,Submarines,68
China,Patrol_Craft,220
China,Mine_Warefare_Vessels,31
India,Total_Naval_Assets,295
India,Aircraft_Carriers,3
India,Frigates,14
India,Destroyers,11
India,Corvettes,23
India,Submarines,15
India,Patrol_Craft,139
India,Mine_Warefare_Vessels,6
France,Total_Naval_Assets,118
France,Aircraft_Carriers,4
France,Frigates,11
France,Destroyers,4
France,Corvettes,0
France,Submarines,10
France,Patrol_Craft,17
France,Mine_Warefare_Vessels,18
UK,Total_Naval_Assets,76
UK,Aircraft_Carriers,2
UK,Frigates,13
UK,Destroyers,6
UK,Corvettes,0
UK,Submarines,11
UK,Patrol_Craft,4
UK,Mine_Warefare_Vessels,15
Japan,Total_Naval_Assets,131
Japan,Aircraft_Carriers,4
Japan,Frigates,0
Japan,Destroyers,42
Japan,Corvettes,6
Japan,Submarines,17
Japan,Patrol_Craft,6
Japan,Mine_Warefare_Vessels,25
Turkey,Total_Naval_Assets,194
Turkey,Aircraft_Carriers,0
Turkey,Frigates,16
Turkey,Destroyers,0
Turkey,Corvettes,9
Turkey,Submarines,12
Turkey,Patrol_Craft,34
Turkey,Mine_Warefare_Vessels,11
Germany,Total_Naval_Assets,81
Germany,Aircraft_Carriers,0
Germany,Frigates,10
Germany,Destroyers,0
Germany,Corvettes,5
Germany,Submarines,6
Germany,Patrol_Craft,4
Germany,Mine_Warefare_Vessels,13
Egypt,Total_Naval_Assets,319
Egypt,Aircraft_Carriers,2
Egypt,Frigates,9
Egypt,Destroyers,0
Egypt,Corvettes,2
Egypt,Submarines,5
Egypt,Patrol_Craft,227
Egypt,Mine_Warefare_Vessels,23
Egypt,,
